Name,Value.Id,Value.SepalLengthCm,Value.SepalWidthCm,Value.df_pg.PetalWidthCm,Value.df_pg.PetalLengthCm.1,Value.df_pg.Species,Value.Anomaly,Value.Anomaly_Score
output,1,5.1,3.5,0.2,1.4,Iris-setosa,0,-0.11894680550655456
output,2,4.9,3.0,0.2,1.4,Iris-setosa,0,-0.1184303483607404
output,3,4.7,3.2,0.2,1.3,Iris-setosa,0,-0.1035381220098987
output,4,4.6,3.1,0.2,1.5,Iris-setosa,0,-0.10617377127436967
output,5,5.0,3.6,0.2,1.4,Iris-setosa,0,-0.11934350567575142
output,6,5.4,3.9,0.4,1.7,Iris-setosa,0,-0.0485011523080372
output,7,4.6,3.4,0.3,1.4,Iris-setosa,0,-0.08735017520826621
output,8,5.0,3.4,0.2,1.5,Iris-setosa,0,-0.14130382395128982
output,9,4.4,2.9,0.2,1.4,Iris-setosa,0,-0.06613483014428556
output,10,4.9,3.1,0.1,1.5,Iris-setosa,0,-0.08522370237112675
output,11,5.4,3.7,0.2,1.5,Iris-setosa,0,-0.11460247858157874
output,12,4.8,3.4,0.2,1.6,Iris-setosa,0,-0.13132779715965898
output,13,4.8,3.0,0.1,1.4,Iris-setosa,0,-0.08494213248574262
output,14,4.3,3.0,0.1,1.1,Iris-setosa,1,0.010801821580294302
output,15,5.8,4.0,0.2,1.2,Iris-setosa,0,-0.03694229045871844
output,16,5.7,4.4,0.4,1.5,Iris-setosa,0,-0.0180565841592214
output,17,5.4,3.9,0.4,1.3,Iris-setosa,0,-0.07781168202062716
output,18,5.1,3.5,0.3,1.4,Iris-setosa,0,-0.146953401031847
output,19,5.7,3.8,0.3,1.7,Iris-setosa,0,-0.06270406309210663
output,20,5.1,3.8,0.3,1.5,Iris-setosa,0,-0.13095417433347922
output,21,5.4,3.4,0.2,1.7,Iris-setosa,0,-0.12085503998436953
output,22,5.1,3.7,0.4,1.5,Iris-setosa,0,-0.12161997560614662
output,23,4.6,3.6,0.2,1.0,Iris-setosa,0,-0.028036848567532413
output,24,5.1,3.3,0.5,1.7,Iris-setosa,0,-0.0710999386482879
output,25,4.8,3.4,0.2,1.9,Iris-setosa,0,-0.09694543248442955
output,26,5.0,3.0,0.2,1.6,Iris-setosa,0,-0.13961877668736028
output,27,5.0,3.4,0.4,1.6,Iris-setosa,0,-0.12683709658659464
output,28,5.2,3.5,0.2,1.5,Iris-setosa,0,-0.1573152281211837
output,29,5.2,3.4,0.2,1.4,Iris-setosa,0,-0.15477184591183862
output,30,4.7,3.2,0.2,1.6,Iris-setosa,0,-0.13602503022251045
output,31,4.8,3.1,0.2,1.6,Iris-setosa,0,-0.144668609907031
output,32,5.4,3.4,0.4,1.5,Iris-setosa,0,-0.1071217330684256
output,33,5.2,4.1,0.1,1.5,Iris-setosa,0,-0.04972042344512695
output,34,5.5,4.2,0.2,1.4,Iris-setosa,0,-0.0767838247220205
output,35,4.9,3.1,0.1,1.5,Iris-setosa,0,-0.11797716390525442
output,36,5.0,3.2,0.2,1.2,Iris-setosa,0,-0.12958388772646345
output,37,5.5,3.5,0.2,1.3,Iris-setosa,0,-0.10678133262417616
output,38,4.9,3.1,0.1,1.5,Iris-setosa,0,-0.11140026557231336
output,39,4.4,3.0,0.2,1.3,Iris-setosa,0,-0.0896588451533068
output,40,5.1,3.4,0.2,1.5,Iris-setosa,0,-0.1512350145677796
output,41,5.0,3.5,0.3,1.3,Iris-setosa,0,-0.1244774680910114
output,42,4.5,2.3,0.3,1.3,Iris-setosa,1,0.005811566067300378
output,43,4.4,3.2,0.2,1.3,Iris-setosa,0,-0.0903630957850946
output,44,5.0,3.5,0.6,1.6,Iris-setosa,0,-0.05345639423730064
output,45,5.1,3.8,0.4,1.9,Iris-setosa,0,-0.0543916505167078
output,46,4.8,3.0,0.3,1.4,Iris-setosa,0,-0.09969925965936366
output,47,5.1,3.8,0.2,1.6,Iris-setosa,0,-0.10359387140245196
output,48,4.6,3.2,0.2,1.4,Iris-setosa,0,-0.11343473095266021
output,49,5.3,3.7,0.2,1.5,Iris-setosa,0,-0.09378904575739677
output,50,5.0,3.3,0.2,1.4,Iris-setosa,0,-0.11319629947526505
output,51,7.0,3.2,1.4,4.7,Iris-versicolor,0,-0.04088168146217808
output,52,6.4,3.2,1.5,4.5,Iris-versicolor,0,-0.09439058461684058
output,53,6.9,3.1,1.5,4.9,Iris-versicolor,0,-0.06817072625749399
output,54,5.5,2.3,1.3,4.0,Iris-versicolor,0,-0.06005150372200463
output,55,6.5,2.8,1.5,4.6,Iris-versicolor,0,-0.10690961298711499
output,56,5.7,2.8,1.3,4.5,Iris-versicolor,0,-0.1215772088973674
output,57,6.3,3.3,1.6,4.7,Iris-versicolor,0,-0.06822891238820183
output,58,4.9,2.4,1.0,3.3,Iris-versicolor,0,-0.0021542246349928185
output,59,6.6,2.9,1.3,4.6,Iris-versicolor,0,-0.09698682067632569
output,60,5.2,2.7,1.4,3.9,Iris-versicolor,0,-0.05417618357598031
output,61,5.0,2.0,1.0,3.5,Iris-versicolor,1,0.013382897083201395
output,62,5.9,3.0,1.5,4.2,Iris-versicolor,0,-0.11621151154217918
